Algorithm,Key_Size,Payload_Size,Sample_Num,Encrypt_Delay_sec
RSA,1024,50,1,0.0005416999920271337
RSA,1024,50,2,8.79999715834856e-05
RSA,1024,50,3,8.809997234493494e-05
RSA,1024,50,4,7.919996278360486e-05
RSA,1024,50,5,0.00011199997970834374
RSA,1024,50,6,0.00011189997894689441
RSA,1024,50,7,0.00010770000517368317
RSA,1024,50,8,8.279999019578099e-05
RSA,1024,50,9,0.00011570000788196921
RSA,1024,50,10,0.00011470000026747584
RSA,1024,50,11,0.00011200003791600466
RSA,1024,50,12,9.849999332800508e-05
RSA,1024,50,13,0.00010649999603629112
RSA,1024,50,14,0.00011279998579993844
RSA,1024,50,15,0.00011879997327923775
RSA,1024,50,16,0.00011379999341443181
RSA,1024,50,17,0.0001154000055976212
RSA,1024,50,18,0.0001113000325858593
RSA,1024,50,19,0.00012500002048909664
RSA,1024,50,20,0.00011249998351559043
RSA,1024,50,21,0.00013749999925494194
RSA,1024,50,22,0.00011500000255182385
RSA,1024,50,23,0.00011490000179037452
RSA,1024,50,24,0.0001142999972216785
RSA,1024,50,25,0.00010459998156875372
RSA,1024,50,26,8.790002902969718e-05
RSA,1024,50,27,0.000112400040961802
RSA,1024,50,28,0.00010900001507252455
RSA,1024,50,29,0.0001094000181183219
RSA,1024,50,30,0.00012420001439750195
RSA,1024,50,31,0.00011110003106296062
RSA,1024,50,32,0.0001134999911300838
RSA,1024,50,33,0.00011419999646022916
RSA,1024,50,34,0.0001154000055976212
RSA,1024,50,35,0.00013000000035390258
RSA,1024,50,36,0.00011480000102892518
RSA,1024,50,37,9.90999978967011e-05
RSA,1024,50,38,0.00011219998123124242
RSA,1024,50,39,0.00011199997970834374
RSA,1024,50,40,0.00011360005009919405
RSA,1024,50,41,0.00010960001964122057
RSA,1024,50,42,0.00011219998123124242
RSA,1024,50,43,7.82000133767724e-05
RSA,1024,50,44,0.00011350004933774471
RSA,1024,50,45,0.00011199997970834374
RSA,1024,50,46,0.00011510000331327319
RSA,1024,50,47,0.00012130005052313209
RSA,1024,50,48,0.00012959999730810523
RSA,1024,50,49,0.00011359999189153314
RSA,1024,50,50,0.00011090002954006195
RSA,1024,50,51,0.00011389999417588115
RSA,1024,50,52,0.00011309998808428645
RSA,1024,50,53,0.00012090004747733474
RSA,1024,50,54,0.0001134999911300838
RSA,1024,50,55,0.0001162000116892159
RSA,1024,50,56,8.639995940029621e-05
RSA,1024,50,57,7.529999129474163e-05
RSA,1024,50,58,8.900003740563989e-05
RSA,1024,50,59,8.780002826824784e-05
RSA,1024,50,60,9.669997962191701e-05
RSA,1024,50,61,0.00011139997513964772
RSA,1024,50,62,0.00011199997970834374
RSA,1024,50,63,0.0001126999850384891
RSA,1024,50,64,0.00011059996904805303
RSA,1024,50,65,0.00011289998656138778
RSA,1024,50,66,0.00010949996067211032
RSA,1024,50,67,9.240000508725643e-05
RSA,1024,50,68,0.00012400001287460327
RSA,1024,50,69,0.0001134999911300838
RSA,1024,50,70,0.00011140003334730864
RSA,1024,50,71,0.00010549998842179775
RSA,1024,50,72,0.00012580002658069134
RSA,1024,50,73,7.609999738633633e-05
RSA,1024,50,74,0.00011640001321211457
RSA,1024,50,75,0.00011259998427703977
RSA,1024,50,76,0.00010900001507252455
RSA,1024,50,77,0.00010800000745803118
RSA,1024,50,78,0.00011319998884573579
RSA,1024,50,79,0.00011409999569877982
RSA,1024,50,80,0.00013000000035390258
RSA,1024,50,81,8.520000847056508e-05
RSA,1024,50,82,0.00011640001321211457
RSA,1024,50,83,0.00011069996980950236
RSA,1024,50,84,0.00010529998689889908
RSA,1024,50,85,7.599999662488699e-05
RSA,1024,50,86,9.169999975711107e-05
RSA,1024,50,87,0.00019559997599571943
RSA,1024,50,88,0.00011219998123124242
RSA,1024,50,89,0.00011490000179037452
RSA,1024,50,90,0.00011760002234950662
RSA,1024,50,91,0.00011180003639310598
RSA,1024,50,92,0.00010330002987757325
RSA,1024,50,93,0.00015590002294629812
RSA,1024,50,94,0.0001134999911300838
RSA,1024,50,95,0.00011139997513964772
RSA,1024,50,96,0.00012849998893216252
RSA,1024,50,97,7.840001489967108e-05
RSA,1024,50,98,0.00012799998512491584
RSA,1024,50,99,7.509998977184296e-05
RSA,1024,50,100,0.00011709996033459902
RSA,1024,100,1,9.750004392117262e-05
RSA,1024,100,2,0.00013650004984810948
RSA,1024,100,3,0.00013509998098015785
RSA,1024,100,4,0.00013609998859465122
RSA,1024,100,5,0.00013619998935610056
RSA,1024,100,6,0.0001370999962091446
RSA,1024,100,7,0.00015570002142339945
RSA,1024,100,8,0.00012699997751042247
RSA,1024,100,9,0.0001343999756500125
RSA,1024,100,10,0.00013689999468624592
RSA,1024,100,11,0.00010280002607032657
RSA,1024,100,12,0.00011189997894689441
RSA,1024,100,13,0.0001398000167682767
RSA,1024,100,14,0.00011470000026747584
RSA,1024,100,15,0.00013699999544769526
RSA,1024,100,16,0.00013539998326450586
RSA,1024,100,17,0.00013619998935610056
RSA,1024,100,18,0.000139000010676682
RSA,1024,100,19,0.00013810000382363796
RSA,1024,100,20,0.00015569996321573853
RSA,1024,100,21,9.769998723641038e-05
RSA,1024,100,22,0.00015689997235313058
RSA,1024,100,23,0.00013420003233477473
RSA,1024,100,24,0.00013539998326450586
RSA,1024,100,25,0.00010820000898092985
RSA,1024,100,26,0.00016649998724460602
RSA,1024,100,27,0.0001346999779343605
RSA,1024,100,28,0.00013460003538057208
RSA,1024,100,29,0.00010740000288933516
RSA,1024,100,30,0.00015320000238716602
RSA,1024,100,31,0.00015400000847876072
RSA,1024,100,32,0.00013679999392479658
RSA,1024,100,33,0.0001422999775968492
RSA,1024,100,34,0.0001629000180400908
RSA,1024,100,35,0.0001487999688833952
RSA,1024,100,36,0.00013480003690347075
RSA,1024,100,37,0.00012550002429634333
RSA,1024,100,38,0.00014900002861395478
RSA,1024,100,39,0.00012550002429634333
RSA,1024,100,40,0.0001542000100016594
RSA,1024,100,41,0.00013840000610798597
RSA,1024,100,42,0.0001561000244691968
RSA,1024,100,43,0.00010010000551119447
RSA,1024,100,44,0.00013370002852752805
RSA,1024,100,45,0.0001066999975591898
RSA,1024,100,46,0.00012179999612271786
RSA,1024,100,47,0.00015419995179399848
RSA,1024,100,48,8.93000396899879e-05
RSA,1024,100,49,0.00013509998098015785
RSA,1024,100,50,0.0001351999817416072
RSA,1024,100,51,0.00012360000982880592
RSA,1024,100,52,0.00014439999358728528
RSA,1024,100,53,0.00013730005593970418
RSA,1024,100,54,0.0001346999779343605
RSA,1024,100,55,0.0001433999859727919
RSA,1024,100,56,0.0001341000315733254
RSA,1024,100,57,0.00010229996405541897
RSA,1024,100,58,0.00012179999612271786
RSA,1024,100,59,0.0001235000090673566
RSA,1024,100,60,0.0001317000132985413
RSA,1024,100,61,0.0001469000126235187
RSA,1024,100,62,0.0001406999654136598
RSA,1024,100,63,0.00014890002785250545
RSA,1024,100,64,0.0001365999924018979
RSA,1024,100,65,0.00016299996059387922
RSA,1024,100,66,9.290000889450312e-05
RSA,1024,100,67,0.0001047999830916524
RSA,1024,100,68,0.00010599999222904444
RSA,1024,100,69,9.159999899566174e-05
RSA,1024,100,70,0.0001556000206619501
RSA,1024,100,71,0.00015410000924021006
RSA,1024,100,72,0.00013430003309622407
RSA,1024,100,73,9.740004315972328e-05
RSA,1024,100,74,0.0001373999984934926
RSA,1024,100,75,0.0001539999502710998
RSA,1024,100,76,7.92999635450542e-05
RSA,1024,100,77,0.00010760000441223383
RSA,1024,100,78,8.890003664419055e-05
RSA,1024,100,79,0.00013760000001639128
RSA,1024,100,80,0.00013509998098015785
RSA,1024,100,81,0.00015480001457035542
RSA,1024,100,82,0.0001335999695584178
RSA,1024,100,83,0.00013639999087899923
RSA,1024,100,84,0.00013760000001639128
RSA,1024,100,85,0.0001371000544168055
RSA,1024,100,86,8.880003588274121e-05
RSA,1024,100,87,0.00015540001913905144
RSA,1024,100,88,0.00019260001135990024
RSA,1024,100,89,0.00011619995348155499
RSA,1024,100,90,0.00014700001338496804
RSA,1024,100,91,0.0001357999863103032
RSA,1024,100,92,0.0001427999814040959
RSA,1024,100,93,0.00013409997336566448
RSA,1024,100,94,0.0001335999695584178
RSA,1024,100,95,0.0001039999770000577
RSA,1024,100,96,0.00012809998588636518
RSA,1024,100,97,0.00015400000847876072
RSA,1024,100,98,0.00016719999257475138
RSA,1024,100,99,0.00010959996143355966
RSA,1024,100,100,0.00012670003343373537
RSA,1024,150,1,0.00015279999934136868
RSA,1024,150,2,0.00017259997548535466
RSA,1024,150,3,0.0001585999852977693
RSA,1024,150,4,0.00014129996998235583
RSA,1024,150,5,0.00010120001388713717
RSA,1024,150,6,0.00014000001829117537
RSA,1024,150,7,0.00017300003673881292
RSA,1024,150,8,0.0001531999441795051
RSA,1024,150,9,0.00015470001380890608
RSA,1024,150,10,0.00017419998766854405
RSA,1024,150,11,0.0001547999563626945
RSA,1024,150,12,0.00012019998393952847
RSA,1024,150,13,0.00017529999604448676
RSA,1024,150,14,0.00015199999324977398
RSA,1024,150,15,0.000159399991389364
RSA,1024,150,16,0.0001506999833509326
RSA,1024,150,17,0.00010900001507252455
RSA,1024,150,18,0.0001037000329233706
RSA,1024,150,19,0.00013760000001639128
RSA,1024,150,20,0.00013499998021870852
RSA,1024,150,21,0.000139000010676682
RSA,1024,150,22,0.00011119997361674905
RSA,1024,150,23,0.00012079998850822449
RSA,1024,150,24,0.00017290003597736359
RSA,1024,150,25,0.00012440001592040062
RSA,1024,150,26,0.00016249995678663254
RSA,1024,150,27,0.0001571999746374786
RSA,1024,150,28,0.00018989999080076814
RSA,1024,150,29,0.00013010000111535192
RSA,1024,150,30,0.00016820000018924475
RSA,1024,150,31,0.00016440002946183085
RSA,1024,150,32,0.0001689000055193901
RSA,1024,150,33,0.0001585999852977693
RSA,1024,150,34,0.00010639999527484179
RSA,1024,150,35,0.00015969999367371202
RSA,1024,150,36,0.00017640000442042947
RSA,1024,150,37,0.00016140000661835074
RSA,1024,150,38,0.00012669997522607446
RSA,1024,150,39,0.00015799998072907329
RSA,1024,150,40,0.00010200001997873187
RSA,1024,150,41,0.00013280002167448401
RSA,1024,150,42,0.00015959999291226268
RSA,1024,150,43,0.00016449997201561928
RSA,1024,150,44,0.0001561000244691968
RSA,1024,150,45,0.00015940004959702492
RSA,1024,150,46,0.0001750999945215881
RSA,1024,150,47,0.00018829997861757874
RSA,1024,150,48,9.720004163682461e-05
RSA,1024,150,49,0.00015620002523064613
RSA,1024,150,50,0.00018100003944709897
RSA,1024,150,51,0.00018759997328743339
RSA,1024,150,52,0.00015219999477267265
RSA,1024,150,53,0.00018420000560581684
RSA,1024,150,54,0.00014269998064264655
RSA,1024,150,55,0.00016659998800605536
RSA,1024,150,56,0.00015630002599209547
RSA,1024,150,57,0.000159099989105016
RSA,1024,150,58,0.00015760003589093685
RSA,1024,150,59,0.00017549999756738544
RSA,1024,150,60,0.00015570002142339945
RSA,1024,150,61,0.00016039999900385737
RSA,1024,150,62,0.00015470001380890608
RSA,1024,150,63,0.00015750003512948751
RSA,1024,150,64,0.00015310000162571669
RSA,1024,150,65,9.819999104365706e-05
RSA,1024,150,66,0.00010289996862411499
RSA,1024,150,67,0.00017830001888796687
RSA,1024,150,68,0.00010190001921728253
RSA,1024,150,69,0.0001745999907143414
RSA,1024,150,70,0.00015490001533180475
RSA,1024,150,71,0.00017479999223724008
RSA,1024,150,72,0.00014519999967887998
RSA,1024,150,73,0.00015879998682066798
RSA,1024,150,74,0.00017720001051202416
RSA,1024,150,75,0.00017610000213608146
RSA,1024,150,76,0.00012480001896619797
RSA,1024,150,77,0.00011610001092776656
RSA,1024,150,78,0.00016330002108588815
RSA,1024,150,79,0.00010439998004585505
RSA,1024,150,80,0.00011199997970834374
RSA,1024,150,81,0.00016029999824240804
RSA,1024,150,82,0.00011040002573281527
RSA,1024,150,83,0.00016709999181330204
RSA,1024,150,84,0.000145800004247576
