Algorithm,Key_Size,Payload_Size,Sample_Num,Encrypt_Delay_sec
ECC,Level_1,100,21,0.00030790000005254115
ECC,Level_1,100,22,0.00022420000004785834
ECC,Level_1,100,23,0.00015080000002853922
ECC,Level_1,100,24,0.00013239999998404528
ECC,Level_1,100,25,0.00012590000005729962
ECC,Level_1,100,26,0.0001916999999593827
ECC,Level_1,100,27,0.00015669999993406236
ECC,Level_1,100,28,0.000160700000151337
ECC,Level_1,100,29,0.000143900000011854
ECC,Level_1,100,30,0.00021700000002056186
ECC,Level_1,100,31,0.00011819999986073526
ECC,Level_1,100,32,0.00018839999984265887
ECC,Level_1,100,33,0.0002223999999841908
ECC,Level_1,100,34,0.00015919999987090705
ECC,Level_1,100,35,0.0001752000000578846
ECC,Level_1,100,36,0.00015959999996084662
ECC,Level_1,100,37,0.00013119999994160025
ECC,Level_1,100,38,0.0003885999999511114
ECC,Level_1,100,39,0.00011819999986073526
ECC,Level_1,100,40,0.00019840000004478497
ECC,Level_1,100,41,0.0001351000000795466
ECC,Level_1,100,42,0.0002256000000215863
ECC,Level_1,100,43,0.00014170000008562056
ECC,Level_1,100,44,0.00031000000012681994
ECC,Level_1,100,45,0.0001830000001064036
ECC,Level_1,100,46,0.00018409999984214664
ECC,Level_1,100,47,0.00015460000008715724
ECC,Level_1,100,48,0.00031259999991561926
ECC,Level_1,100,49,0.00019050000014431134
ECC,Level_1,100,50,0.0001783000000159518
ECC,Level_1,100,51,0.00012040000001434237
ECC,Level_1,100,52,0.00018640000007508206
ECC,Level_1,100,53,0.00021689999994123355
ECC,Level_1,100,54,0.00038850000009915675
ECC,Level_1,100,55,0.00023469999996450497
ECC,Level_1,100,56,0.00014099999998506973
ECC,Level_1,100,57,0.00012409999999363208
ECC,Level_1,100,58,0.0001876000001175271
ECC,Level_1,100,59,0.00019150000002809975
ECC,Level_1,100,60,0.00019659999998111743
ECC,Level_1,100,61,0.00021270000002004963
ECC,Level_1,100,62,0.00016269999991891382
ECC,Level_1,100,63,0.00025069999992410885
ECC,Level_1,100,64,0.00018019999993157398
ECC,Level_1,100,65,0.0001430000002073939
ECC,Level_1,100,66,0.00017010000010486692
ECC,Level_1,100,67,0.00018470000009074283
ECC,Level_1,100,68,0.00034529999993537785
ECC,Level_1,100,69,0.00031609999996362603
ECC,Level_1,100,70,0.0003168999999161315
ECC,Level_1,100,71,0.0001807999999527965
ECC,Level_1,100,72,0.000183999999990192
ECC,Level_1,100,73,0.00012070000002495362
ECC,Level_1,100,74,0.00031560000002173183
ECC,Level_1,100,75,0.00011749999998755811
ECC,Level_1,100,76,0.00030530000003636815
ECC,Level_1,100,77,0.00026800000000548607
ECC,Level_1,100,78,0.00030160000005707843
ECC,Level_1,100,79,0.00022719999992659723
ECC,Level_1,100,80,0.00031560000002173183
ECC,Level_1,100,81,0.00031100000001060835
ECC,Level_1,100,82,0.0001819000001432869
ECC,Level_1,100,83,0.0001393000000007305
ECC,Level_1,100,84,0.0001532999999653839
ECC,Level_1,100,85,0.0001281999998354877
ECC,Level_1,100,86,0.00014379999993252568
ECC,Level_1,100,87,0.00014669999995930993
ECC,Level_1,100,88,0.00022119999994174577
ECC,Level_1,100,89,0.0001824000000851811
ECC,Level_1,100,90,0.00019290000000182772
ECC,Level_1,100,91,0.00018539999996391998
ECC,Level_1,100,92,0.0003157999999530148
ECC,Level_1,100,93,0.00018640000007508206
ECC,Level_1,100,94,0.00017320000006293412
ECC,Level_1,100,95,0.000172399999883055
ECC,Level_1,100,96,0.00015050000001792796
ECC,Level_1,100,97,0.00015039999993859965
ECC,Level_1,100,98,0.00037689999999201973
ECC,Level_1,100,99,0.00014050000004317553
ECC,Level_1,100,100,0.00018279999994774698
ECC,Level_1,150,1,0.00019720000000233995
ECC,Level_1,150,2,0.0003206999999747495
ECC,Level_1,150,3,0.00015740000003461319
ECC,Level_1,150,4,0.00022459999991042423
ECC,Level_1,150,5,0.0001325000000633736
ECC,Level_1,150,6,0.0003782999999657477
ECC,Level_1,150,7,0.0001339999998890562
ECC,Level_1,150,8,0.0001776999999947293
ECC,Level_1,150,9,0.00011180000001331791
